"API Configuration","Konfiguracja API"
"Store API Key","Klucz API sklepu"
"This value is used for store identification with MultiPunkty.pl service","Wartość ta jest wykorzystywana do identyfikacji sklepu w serwisie MultiPunkty.pl"
"Payment type","Typ płatności"
"Launch Service","Uruchom usługę"
"Yes","Tak"
"No","Nie"
"Rewarding settings","Ustawienia premiowania"
"Reward for purchase","Liczba punktów za zakupy"
"Reward for comment","Liczba punktów za wystawiony komentarz"
"Reward for store recommendation","Liczba punktów za polecenie sklepu"
"Reward for product recommendation","Liczba punktów za polecenie produktu"
"Amount of MP$ for 1PLN. Minimal value: 1","Liczba multipunktów otrzymywana za każdą wydaną złotówkę. Minimalna wartość: 1"
"Amount of MP$. Minimal value: 1","Liczba multipunktów. Minimalna wartość: 1"
"Presenting information about MultiPunkty.pl service settings","Prezentacja informacji o usłudze MultiPunkty.pl"
"Show information on homepage","Pokazuj informację na stronie głównej"
"Show information near product","Pokazuj informację przy opisie produktu"
"Show information near shopping cart","Pokazuj informację przy koszyku sklepowym"
"Show information after purchase (in summary)","Pokazuj informację po zakupie (w podsumowaniu)"
"Show information in mail after purchase","Pokazuj informację w mailu po zakupie"
"Rewards Catalog","Katalog nagród"
"Add products to Rewards Catalog","Dodaj produkty do Katalogu nagród"
"None","Żadne"
"All","Wszystkie"
"From Category","Z kategorii"
"Loyalty program","Program lojalnościowy"
"Recommending","Polecanie"
"Promotional campaigns settings","Ustawienia akcji promocyjnych"
"MultiPunkty.pl loyalty program start","Start usługi programu lojalnościowego MultiPunkty.pl"
"Payment in advance","Płatność z góry"
"Payment in advance & Cash on delivery","Płatność z góry lub za pobraniem"
"Private Key","Klucz prywatny sklepu"
"Partner ID","Identyfikator partnera"
"MultiPunkty.pl Account","Konto MultiPunkty.pl"
"Number of points","Liczba punktów"
"Buy credits","Doładuj"
"Service status","Status usługi"
"Points activation time","Czas aktywowania punktów"
"Payment type accepted by MultiPunkty module","Typ płatności za zakup a przyznawanie MultiPunktów"
"Enabled","Aktywna"
"Disabled","Nieaktywna"
"Register Account","Załóż konto"
"Account Registered","Konto założone"
"No account - create one or complete registration process","Brak konta - założ konto lub dokończ proces rejestracji"
"No MultiPoints - buy credits","Brak MultiPunktów - doładuj konto"
"Click here to activate your account in MultiPunkty.pl service","Kliknij tutaj, aby założyć konto i aktywować je w usłudze MultiPunkty.pl"
"%d MultiPoints (MP$) will not be given to user","Uwaga! %d MultiPunktów (MP$)"
"You will receive your MP$ if you will pay on purchase","Możesz otrzymać dokonując płatności przy zakupie (z góry). Sprawdź wybrany typ zapłaty."
"Account information","Informacje o koncie"
"User status: ","Status użytkownika: "
"Active","Aktywny"
"Inactive","Nieaktywny"
"User login: ","Login użytkownika: "
"Not able ","Niedostępny "
"Unregister account","Wyrejestruj konto"
"Register account","Zarejestruj konto"
"Back","Powrót"
"There was an error when logging into MultiPunkty service - try again.","Wystąpił błąd podczas logowania do serwisu MultiPunkty.pl - spróbuj ponownie"
"User was successfully registered.","Użytkownik został zarejestrowany pomyślnie"
"There was an error when processing your request, try again.","Wystąpił błąd podczas obsługi Twojego żądania, spróbuj ponownie"
"User already unregistered.","Użytkownik został wyrejestrowany wcześniej"
"User was successfully unregistered.","Użytkownik został wyrejestrowany pomyślnie"
"You received %d MultiPoints","Otrzymałeś %d MultiPunktów"
"Check your MP$ status and rewards that you can receive!","Sprawdź swój stan MP$ i nagrody, jakie możesz odebrać !"
"Receive your MultiPoints and exchange them into rewards (over 1000 rewards to choose)","Odbierz swoje MultiPunkty  i wymień je na nagrody (ponad 1000 nagród do wyboru)"
"Click on the link above to register your MultiPoints","Kliknij w poniższy link, aby zarejestrować swoje MultiPunkty:"
"More than 250 000 people gather MP$","Już ponad 250 000 osób zbiera MP$"
"Thank you for shopping!","Dziękujemy za zakupy!"
"Click here to check your MultiPoints status and get to your account panel in MultiPunkty.pl service","Kliknij tutaj, aby sprawdzić status swoich punktów i dostać się do panelu konta w serwisie MultiPunkty.pl"
"After activating your account using activation link sent by email, please launch service in module and save changes","Po aktywowaniu konta za pomocą linku aktywacyjnego, proszę o uruchomienie usługi oraz zapisanie zmian"
"You get 1000 MP$ at the beginning, which you can reward your customers for the purchase","Otrzymujesz 1000 MP$ na Start, którymi możesz premiować swoich Klientów za zakup"
"'%s: You received MultiPoints for an order #%d'","%s: Otrzymałeś MultiPunkty za zamówienie nr %d"
"days","dni"